dir1,image1,refIntensity1,dir2,image2,refIntensity2
CEimgs_rot0_shad8_blk30_cen30,Paint_NoProbe_Diam70_Blob0_Chk140,0.25,CEimgs_rot70_shad8_blk30_cen30,Paint_NoProbe_Diam70_Blob0_Chk140,0.25
,,0.5,,,0.5
,,0.75,,,0.75
